ticket_id,customer_id,created_date,ticket_type,priority,status,resolution_time_hours
1,1374,2025-03-26,Shipping Delay,Medium,Resolved,45.0
2,4175,2025-06-18,Shipping Delay,Medium,Closed,19.0
3,1115,2025-01-20,Account Problem,Low,In Progress,37.4
4,3472,2024-12-24,Product Issue,Critical,Closed,16.2
5,4203,2024-11-26,Product Issue,Medium,Resolved,33.0
6,1331,2024-12-30,Refund Request,Low,Open,13.9
7,4127,2024-10-17,Refund Request,High,Resolved,22.5
8,36,2024-12-22,Product Issue,High,Closed,13.1
9,2538,2025-05-13,Account Problem,Low,Resolved,4.9
10,1132,2024-12-16,General Inquiry,Medium,Resolved,4.0
11,2174,2024-09-23,Account Problem,Low,Open,5.2
12,294,2025-02-05,Account Problem,High,Resolved,27.0
13,1906,2025-06-14,Account Problem,High,Closed,5.6
14,2164,2025-01-15,Account Problem,Low,Closed,82.8
15,95,2024-12-19,Product Issue,Medium,Closed,47.4
16,1269,2025-01-25,Product Issue,Low,Closed,8.0
17,1935,2025-05-22,Refund Request,High,In Progress,29.1
18,2206,2025-04-12,General Inquiry,Low,Resolved,1.1
19,1049,2025-03-22,Shipping Delay,Medium,Closed,19.5
20,4823,2024-11-10,Account Problem,Medium,Closed,86.0
21,4926,2025-01-27,Refund Request,Medium,Closed,67.0
22,4146,2024-12-12,Product Issue,Medium,Resolved,16.5
23,1164,2025-07-12,Product Issue,High,Resolved,5.9
24,2108,2025-04-07,Refund Request,Low,Closed,8.9
25,1174,2025-08-17,Refund Request,Low,Closed,12.0
26,3852,2024-12-20,Refund Request,Low,Resolved,6.2
27,4742,2024-08-27,Product Issue,Medium,Resolved,73.6
28,4539,2025-07-04,Product Issue,Low,Closed,11.8
29,1339,2025-04-06,Refund Request,Low,Closed,81.8
30,3497,2025-04-28,Shipping Delay,Medium,Resolved,1.8
31,1574,2025-07-22,General Inquiry,Low,Closed,40.5
32,3609,2024-10-24,Refund Request,Low,Resolved,55.2
33,1208,2025-01-22,Product Issue,Medium,In Progress,14.2
34,1874,2024-10-13,Refund Request,Low,Resolved,25.6
35,232,2025-03-03,Shipping Delay,Low,Closed,5.2
36,1335,2025-08-12,Product Issue,Low,In Progress,5.3
37,465,2025-04-13,Refund Request,Medium,Closed,20.7
38,3459,2025-06-27,Shipping Delay,Medium,Closed,13.6
39,4580,2025-02-20,General Inquiry,Low,In Progress,39.9
40,3965,2025-01-07,Refund Request,Medium,Closed,6.4
41,3575,2025-05-06,General Inquiry,Low,In Progress,28.9
42,2135,2025-02-23,Refund Request,Medium,Resolved,67.6
43,4449,2024-10-15,Account Problem,High,Closed,24.7
44,4926,2024-09-09,Account Problem,High,Resolved,85.0
45,3485,2025-05-27,General Inquiry,Low,Resolved,31.8
46,4702,2025-05-01,Account Problem,Low,In Progress,15.6
47,393,2025-05-26,Refund Request,Low,Closed,0.2
48,2768,2024-10-30,General Inquiry,Medium,Closed,12.3
49,4902,2025-05-20,Product Issue,High,Closed,81.4
50,302,2025-08-01,Shipping Delay,Medium,Resolved,23.2
51,1352,2024-09-24,General Inquiry,Medium,Closed,10.9
52,3918,2024-12-06,Shipping Delay,High,Resolved,2.7
53,2754,2025-05-12,Account Problem,Low,In Progress,0.6
54,4441,2024-11-01,Product Issue,High,Resolved,43.6
55,1471,2025-07-15,Account Problem,Low,In Progress,28.9
56,3604,2024-08-20,Product Issue,Medium,Resolved,24.9
57,1620,2025-01-21,Account Problem,Critical,In Progress,14.7
58,1547,2024-09-25,Refund Request,Low,Resolved,29.7
59,1887,2024-12-11,Refund Request,Medium,Closed,34.5
60,2453,2024-11-16,Refund Request,Medium,In Progress,0.9
61,4037,2025-06-28,General Inquiry,Low,Closed,7.7
62,4672,2024-10-24,Refund Request,Low,In Progress,28.6
63,3043,2025-03-03,General Inquiry,Medium,Resolved,4.1
64,4351,2025-02-27,Account Problem,Low,Closed,1.8
65,620,2025-01-06,Account Problem,Medium,Resolved,25.0
