transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,discount,total_amount,payment_method,shipping_cost
1,3285,740,2024-04-08,1,65.9,0.0,65.9,Credit Card,8.23
2,4976,649,2023-04-21,1,52.81,0.0,52.81,Bank Transfer,11.02
3,1142,453,2023-11-08,1,11.18,0.0,11.18,PayPal,11.46
4,2575,601,2024-10-03,1,35.33,0.0,35.33,PayPal,6.08
5,2109,739,2023-04-30,1,36.3,0.1,32.67,Credit Card,20.66
6,931,168,2022-11-25,1,20.53,0.0,20.53,Bank Transfer,15.68
7,3169,242,2024-01-28,1,40.29,0.0,40.29,Credit Card,6.97
8,4984,757,2024-09-27,2,15.62,0.0,31.24,Credit Card,15.46
9,2720,246,2023-12-28,1,41.39,0.0,41.39,Debit Card,16.84
10,2410,52,2022-12-05,1,11.25,0.1,10.12,Bank Transfer,19.44
11,2512,23,2024-02-26,2,33.68,0.0,67.36,Credit Card,11.39
12,4198,418,2023-01-01,2,26.62,0.0,53.24,Credit Card,14.02
13,619,536,2023-05-11,1,57.13,0.1,51.42,Bank Transfer,4.76
14,3190,500,2022-08-14,1,15.87,0.0,15.87,Debit Card,12.3
15,3390,411,2023-09-25,1,11.61,0.0,11.61,Debit Card,22.12
16,3670,870,2024-03-20,1,12.58,0.0,12.58,Credit Card,8.12
17,3365,276,2024-03-09,1,11.86,0.05,11.27,Credit Card,14.01
18,3197,794,2023-08-13,1,12.23,0.1,11.01,Debit Card,17.78
19,2544,306,2024-03-06,2,13.58,0.0,27.16,Debit Card,23.04
20,653,674,2023-02-12,1,21.43,0.1,19.29,Debit Card,17.29
21,4698,100,2024-07-01,3,12.13,0.1,32.75,Credit Card,14.68
22,3137,111,2022-02-27,1,8.66,0.15,7.36,Debit Card,23.2
23,1711,761,2024-03-12,1,25.25,0.0,25.25,Credit Card,11.48
24,441,330,2024-06-15,1,10.43,0.1,9.39,Debit Card,23.13
25,3459,873,2022-10-12,1,21.93,0.0,21.93,Credit Card,15.93
26,1988,319,2023-10-23,1,13.94,0.0,13.94,Credit Card,21.24
27,4447,50,2022-01-09,1,13.59,0.1,12.23,Bank Transfer,24.93
28,3578,887,2024-03-13,2,66.26,0.0,132.52,PayPal,14.69
29,4092,451,2023-12-18,1,18.96,0.0,18.96,Credit Card,16.48
30,2061,372,2023-09-12,1,31.93,0.0,31.93,Credit Card,11.52
31,1975,986,2024-07-09,2,30.24,0.0,60.48,Debit Card,5.93
32,3182,956,2022-01-07,1,26.36,0.0,26.36,Credit Card,7.48
33,4763,436,2023-12-01,1,36.37,0.0,36.37,Debit Card,10.71
34,1260,70,2023-08-27,1,44.41,0.05,42.19,Bank Transfer,16.55
35,671,319,2023-06-14,2,13.94,0.0,27.88,Debit Card,11.14
36,1918,846,2023-10-23,1,31.53,0.2,25.22,Bank Transfer,15.11
37,2388,663,2024-05-25,1,83.47,0.0,83.47,Credit Card,9.94
38,4160,805,2022-05-16,4,18.55,0.15,63.07,PayPal,19.28
39,315,421,2023-03-25,2,12.2,0.0,24.4,Credit Card,6.05
40,3630,715,2022-07-24,1,146.13,0.1,131.52,Debit Card,14.22
41,2544,874,2022-10-21,2,74.29,0.0,148.58,Credit Card,5.16
42,2615,345,2022-07-02,3,3.38,0.0,10.14,PayPal,13.51
43,2362,625,2023-01-20,2,21.63,0.15,36.77,Debit Card,10.92
44,4850,563,2023-07-09,1,65.86,0.0,65.86,PayPal,1.63
45,575,282,2024-02-22,1,8.41,0.05,7.99,Debit Card,8.81
46,2301,910,2023-04-21,2,17.29,0.0,34.58,Debit Card,20.36
47,3248,321,2024-12-14,1,21.23,0.0,21.23,Credit Card,8.42
48,3969,830,2022-05-25,1,10.01,0.0,10.01,Debit Card,15.29
49,1765,746,2022-09-05,1,9.69,0.0,9.69,PayPal,7.08
