DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2010-01-04,2660.0,0.0,1.0,1,4.0,0.0,2686.6666666666665,2674.0,2664.285714285714,2660.0,2660.0,2660.0,30.550504633038923,29.664793948382638,29.358214555806395
2010-01-05,2720.0,1.0,1.0,1,5.0,0.0,2686.6666666666665,2674.0,2664.285714285714,2660.0,2660.0,2660.0,30.550504633038923,29.664793948382638,29.358214555806395
2010-01-06,2680.0,2.0,1.0,1,6.0,0.0,2686.6666666666665,2674.0,2664.285714285714,2720.0,2660.0,2660.0,30.550504633038923,29.664793948382638,29.358214555806395
2010-01-07,2670.0,3.0,1.0,1,7.0,0.0,2690.0,2674.0,2664.285714285714,2680.0,2660.0,2660.0,26.457513110645948,29.664793948382638,29.358214555806395
2010-01-08,2640.0,4.0,1.0,1,8.0,0.0,2663.3333333333335,2674.0,2664.285714285714,2670.0,2720.0,2660.0,20.816659994661446,29.664793948382638,29.358214555806395
2010-01-09,2640.0,5.0,1.0,1,9.0,0.0,2650.0,2670.0,2664.285714285714,2640.0,2680.0,2660.0,17.32050807568897,33.16624790355399,29.358214555806395
2010-01-10,2640.0,6.0,1.0,1,10.0,0.0,2640.0,2654.0,2664.285714285714,2640.0,2670.0,2720.0,0.0,19.493588689617905,29.358214555806395
2010-01-11,2580.0,0.0,1.0,2,11.0,0.0,2620.0,2634.0,2652.8571428571427,2640.0,2640.0,2680.0,34.64101615137764,32.86335345030995,43.47960660443225
2010-01-12,2600.0,1.0,1.0,2,12.0,0.0,2606.6666666666665,2620.0,2635.714285714286,2580.0,2640.0,2670.0,30.550504633039033,28.284271247461884,35.523298860110884
2010-01-13,2540.0,2.0,1.0,2,13.0,0.0,2573.3333333333335,2600.0,2615.714285714286,2600.0,2640.0,2640.0,30.550504633039033,42.42640687119284,44.66808810815718
2010-01-14,2590.0,3.0,1.0,2,14.0,0.0,2576.6666666666665,2590.0,2604.285714285714,2540.0,2580.0,2640.0,32.14550253664331,36.05551275463988,38.23486317361113
